"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product Catalog","Sally modifies her cart and proceeds to checkout then completes the order","0","0","1","0","0"
"","Product Catalog","Sally cancels the checkout process from the checkout step 1 page","0","0","1","0","0"
"","Product Catalog","Sally removes products from her cart","0","0","1","0","0"
"","Product Catalog","Sally tries to log in with invalid credentials","0","0","4","0","0"
"","Product Catalog","Sally adds multiple products to the shopping cart","0","0","1","0","0"
"","Product Catalog","Sally views her cart","0","0","1","0","0"
"","Product Catalog","Sally sorts by different criteria after searching for a product","0","0","4","0","0"
"","Product Catalog","Sally cancels the checkout process from the checkout step 2 page","0","0","1","0","0"
"","Product Catalog","Sally modifies her cart by removing all products","0","0","1","0","0"
"","Product Catalog","Sally continues shopping after adding products to her cart","0","0","1","0","0"
"","Product Catalog","Sally tries to access the inventory page without logging in","0","0","1","0","0"
"","Product Catalog","Sally adds a product to her cart","0","0","1","0","0"
"","Product Catalog","Sally proceeds to checkout with items in her cart and completes the order","0","0","1","0","0"
"","Product Catalog","Sally views product details for a specific product","0","0","1","0","0"
